,,,,,,,,,,,,
№,НАИМЕНОВАНИЯ,ИНН,НДС,Бухгалтер,bank klient,Столбец7,Назоратчи,Столбец10,% банк клиент,% бухгалтер,Ёркиной,Назоратчи  %
20,BM UNIT,,,Humora,Azizbek,"1,000,000.00",Go'zaloy,20.00,"50,000.00",200000,70000,50000
21,"ООО ""AVTO LUXUSARY TRADE""  ",307043621,,Alisher,Ruslan,"1,000,000.00",Muslimbek,20.00,"50,000.00",200000,70000,50000
22,KOLBERG PRODUCTION,,,,,"50,000,000.00",,,,0,2500000,0
23," ""AKJ SEBZOR BO`LIMI"" ",305150198,НДС,Sevara,Ruslan,"500,000.00",Zamira,20.00,"25,000.00",100000,35000,25000
24," ""AKJ TUZEL BO`LIMI""",307829726,НДС,Sevara,Ruslan,"500,000.00",Zamira,20.00,"25,000.00",100000,35000,25000
25,"""WALL STREET ACADEMY"" ",306116238,НДС,Maxmuda,Ruslan,"2,300,000.00",Go'zaloy,20.00,"115,000.00",460000,161000,115000
27,LIDER ELITE,,,Zamira,Azizbek,"2,500,000.00",Go'zaloy,20.00,"125,000.00",500000,175000,125000
28,NATURE ECO WOOD MCHJ,309706846,НДС,Mirabbos,,,Muslimbek,20.00,0.00,0,0,0
29,Wood city 1999,,,Mirabbos,,,Muslimbek,20.00,0.00,0,0,0
30,"""G-R-A-N-D ELECTRONICS"" ",308038910,,Mirabbos,Azizbek,"1,000,000.00",Muslimbek,20.00,"50,000.00",200000,70000,50000
31,KIFTI OFTOB SARBONI,,,Mirabbos,Ruslan,"2,000,000.00",Muslimbek,20.00,"100,000.00",400000,140000,0
32,"ЧП ""MATYUSUF SALAEV""",206155668,НДС,Humora,Azizbek,0.00,Go'zaloy,20.00,0.00,0,0,0
33,"OOO ""MAGISTRAL TRANS QURILISH""",207189989,НДС,Humora,Ruslan,"3,500,000.00",Go'zaloy,20.00,"175,000.00",700000,245000,175000
34,"""SHIRIN LYUKS TAOM"" 01.09.2021",302813323,НДС,Musobek,,0.00,Go'zaloy,20.00,0.00,0,0,0
35,BY ETIKETKA,,,Abrorbek,Azizbek,"1,500,000.00",Go'zaloy,20.00,"75,000.00",300000,105000,75000
36, IN VITRO PLANTS,,,Mirabbos,Azizbek,"2,000,000.00",Muslimbek,20.00,"100,000.00",400000,140000,100000
37,"ООО ""BASKETBALL ACADEMY"" ",307205799,НДС,Otabek,Ruslan,"700,000.00",Muslimbek,20.00,"35,000.00",140000,49000,35000
38,"""KESH LOGIST""",307947611,НДС,Aziz shogird,Ruslan,"500,000.00",Musobek,20.00,"25,000.00",100000,35000,25000
39,"""GITA DASTURCHILAR AKADEMIYASI"" MCHJ",309238352,,Dilhush,Azizbek,"1,000,000.00",Go'zaloy,20.00,"50,000.00",200000,70000,50000
40,"""JS MUROTOV"" АДВОКАТЛИК БЮРОСИ"" ",207314302,,Maxmuda,Azizbek,"800,000.00",Go'zaloy,20.00,"40,000.00",160000,56000,40000
41,VMM RELIABLE LEGAL PROTECTION,207324203,,Maxmuda,Azizbek,"500,000.00",Go'zaloy,20.00,"25,000.00",100000,35000,25000
42,"""RUSLAN GRAND """,303451710,,Otabek,Ruslan,"1,500,000.00",Muslimbek,20.00,"75,000.00",300000,105000,75000
43,"ЧП ""CHIRCHIQ SAHOVAT"" ",307077420,,Ruslan,Ruslan,"400,000.00",Go'zaloy,20.00,"20,000.00",80000,28000,20000
44,"""JT INVESTMENT HUB"" ",307159792,,Maxmuda,Azizbek,"2,000,000.00",Go'zaloy,20.00,"100,000.00",400000,140000,100000
45,"""AMIRBEK-RUXSHONA PHARM"" XK",303328933,НДС,Zamira,,"4,000,000.00",Go'zaloy,20.00,0.00,800000,280000,200000
46,"""XASANOV SABIRJAN LASHOVICH"" AB",309188899,,Dilhush,Azizbek,"700,000.00",Go'zaloy,20.00,"35,000.00",140000,49000,35000
47,HAPPY CLEAN MChJ,309610674,,Dilhush,Azizbek,"1,000,000.00",Go'zaloy,20.00,"50,000.00",200000,70000,50000
48,"ООО ""HIGH-TECH GROUP""",307446998,НДС,Maxmuda,,"3,000,000.00",Go'zaloy,20.00,0.00,600000,210000,150000
49,XK UNIMEAL BUSINESS ENTITY,308763019,,Humora,Azizbek,"1,000,000.00",Go'zaloy,20.00,"50,000.00",200000,70000,50000
50,"""ЧП INTER PROF EDUCATION"" ",304107369,НДС,Humora,Ruslan,"2,000,000.00",Go'zaloy,20.00,"100,000.00",400000,140000,100000
51,"LANGUAGE ACADEMY"" ",305610162,НДС,Abdugani,Azizbek,"2,500,000.00",Go'zaloy,20.00,"125,000.00",500000,175000,125000
52,BEK AND COMPANY,,,Mirabbos,Azizbek,"1,000,000.00",Muslimbek,20.00,"50,000.00",200000,70000,50000
53,7-NINE МЧЖ ,308836242,НДС,Musobek,Azizbek,"1,500,000.00",Go'zaloy,20.00,"75,000.00",300000,105000,75000
54,BELLSTORE,,,Go'zaloy,Azizbek,"1,000,000.00",Muslimbek,20.00,"50,000.00",200000,70000,50000
55,TRUST MEDICAL LAB,307409092,,Mirabbos,Ruslan,"1,500,000.00",Muslimbek,20.00,"75,000.00",300000,105000,75000
56," ""STUDY GUIDE"" ",303408381,НДС,Abdugani,Azizbek,"4,000,000.00",Muslimbek,20.00,"200,000.00",800000,280000,200000
57,HILOL PHARM     ,305979201,НДС,Abdugani,Azizbek,"2,500,000.00",Go'zaloy,20.00,"125,000.00",500000,175000,125000
58,"""HI-TECH ORIENT MED-BUSINESS MCHJ",306672520,НДС,Muslimbek,,"4,000,000.00",Go'zaloy,20.00,0.00,800000,280000,200000
59,"""FINANCE SCHOOL""",308234589,НДС,Humora,Ruslan,"700,000.00",Go'zaloy,20.00,"35,000.00",140000,49000,35000
60,"""KIDS NUR CITY"" ООО",306774385,НДС,Musobek,Azizbek,"4,350,000.00",Go'zaloy,20.00,"217,500.00",870000,304500,217500
61,TAKSIM-KEBAB GROUP MCHJ,309695560,,Abdugani,Ruslan,0.00,Go'zaloy,20.00,0.00,0,0,0
62,NIGINA FARM,,НДС,Zamira,,"5,000,000.00",Go'zaloy,20.00,0.00,1000000,350000,250000
63,DOUBLE X PRO,,,Hasan,Azizbek,"1,000,000.00",Muslimbek,20.00,"50,000.00",200000,70000,50000
64,"""MUZAFFARXO`JA-HILOL"" Х.Ф.",206450634,НДС,Musobek,Ruslan,"2,500,000.00",Go'zaloy,20.00,"125,000.00",500000,175000,125000
65,VIRTUS-SOCIUM МЧЖ   ,308241991,НДС,Abrorbek,Azizbek,0.00,Go'zaloy,,0.00,0,,0
66,"""PHARM SMART"" MCHJ",309680747,НДС,Otabek,Azizbek,"4,000,000.00",Muslimbek,20.00,"200,000.00",800000,280000,200000
67,PHARZAM FARM,,,Javohir,Ruslan,"3,000,000.00",Muslimbek,20.00,"150,000.00",600000,210000,150000
68,MIRGAS OIL MCHJ ,309291123,НДС,Mirabbos,Azizbek,"1,500,000.00",Muslimbek,20.00,"75,000.00",300000,105000,75000
69,TRINITY TECHNOLOGY MCHJ,305218618,НДС,,,"20,000,000.00",,25.00,0.00,,1400000,
70,SOBIROV I YATT,,,Abdugani,,"200,000.00",Go'zaloy,20.00,,40000,14000,10000
71,RIZO MULK MCHJ,309918004,,Abrorbek,,"1,000,000.00",Go'zaloy,20.00,0.00,200000,70000,50000
